========================================
Starting Exhaustive 8-Bit Verification...
========================================
OK -> Input: 00000000 | Expected: 0 | Got: 0
OK -> Input: 00101101 | Expected: 0 | Got: 0
OK -> Input: 00101110 | Expected: 0 | Got: 0
OK -> Input: 00101111 | Expected: 1 | Got: 1
OK -> Input: 00110000 | Expected: 0 | Got: 0
OK -> Input: 00110001 | Expected: 1 | Got: 1
OK -> Input: 00110010 | Expected: 1 | Got: 1
OK -> Input: 00110011 | Expected: 0 | Got: 0
OK -> Input: 00110100 | Expected: 1 | Got: 1
OK -> Input: 00110101 | Expected: 0 | Got: 0
OK -> Input: 00110110 | Expected: 0 | Got: 0
OK -> Input: 00110111 | Expected: 1 | Got: 1
OK -> Input: 00111000 | Expected: 1 | Got: 1
OK -> Input: 00111001 | Expected: 0 | Got: 0
OK -> Input: 00111010 | Expected: 0 | Got: 0
OK -> Input: 00111011 | Expected: 1 | Got: 1
OK -> Input: 00111100 | Expected: 0 | Got: 0
OK -> Input: 00111101 | Expected: 1 | Got: 1
OK -> Input: 00111110 | Expected: 1 | Got: 1
OK -> Input: 00111111 | Expected: 0 | Got: 0
OK -> Input: 01000000 | Expected: 1 | Got: 1
OK -> Input: 01000001 | Expected: 0 | Got: 0
OK -> Input: 01000010 | Expected: 0 | Got: 0
OK -> Input: 01000011 | Expected: 1 | Got: 1
OK -> Input: 01000100 | Expected: 0 | Got: 0
OK -> Input: 01000101 | Expected: 1 | Got: 1
OK -> Input: 01000110 | Expected: 1 | Got: 1
OK -> Input: 01000111 | Expected: 0 | Got: 0
OK -> Input: 01001000 | Expected: 0 | Got: 0
OK -> Input: 01001001 | Expected: 1 | Got: 1
OK -> Input: 01001010 | Expected: 1 | Got: 1
OK -> Input: 01001011 | Expected: 0 | Got: 0
OK -> Input: 01001100 | Expected: 1 | Got: 1
OK -> Input: 01001101 | Expected: 0 | Got: 0
OK -> Input: 01001110 | Expected: 0 | Got: 0
OK -> Input: 01001111 | Expected: 1 | Got: 1
OK -> Input: 01010000 | Expected: 0 | Got: 0
OK -> Input: 01010001 | Expected: 1 | Got: 1
OK -> Input: 01010010 | Expected: 1 | Got: 1
OK -> Input: 01010011 | Expected: 0 | Got: 0
OK -> Input: 01010100 | Expected: 1 | Got: 1
OK -> Input: 01010101 | Expected: 0 | Got: 0
OK -> Input: 01010110 | Expected: 0 | Got: 0
OK -> Input: 01010111 | Expected: 1 | Got: 1
OK -> Input: 01011000 | Expected: 1 | Got: 1
OK -> Input: 01011001 | Expected: 0 | Got: 0
OK -> Input: 01011010 | Expected: 0 | Got: 0
OK -> Input: 01011011 | Expected: 1 | Got: 1
OK -> Input: 01011100 | Expected: 0 | Got: 0
OK -> Input: 01011101 | Expected: 1 | Got: 1
OK -> Input: 01011110 | Expected: 1 | Got: 1
OK -> Input: 01011111 | Expected: 0 | Got: 0
OK -> Input: 01100000 | Expected: 0 | Got: 0
OK -> Input: 01100001 | Expected: 1 | Got: 1
OK -> Input: 01100010 | Expected: 1 | Got: 1
OK -> Input: 01100011 | Expected: 0 | Got: 0
OK -> Input: 01100100 | Expected: 1 | Got: 1
OK -> Input: 01100101 | Expected: 0 | Got: 0
OK -> Input: 01100110 | Expected: 0 | Got: 0
OK -> Input: 01100111 | Expected: 1 | Got: 1
OK -> Input: 01101000 | Expected: 1 | Got: 1
OK -> Input: 01101001 | Expected: 0 | Got: 0
OK -> Input: 01101010 | Expected: 0 | Got: 0
OK -> Input: 01101011 | Expected: 1 | Got: 1
OK -> Input: 01101100 | Expected: 0 | Got: 0
OK -> Input: 01101101 | Expected: 1 | Got: 1
OK -> Input: 01101110 | Expected: 1 | Got: 1
OK -> Input: 01101111 | Expected: 0 | Got: 0
OK -> Input: 01110000 | Expected: 1 | Got: 1
OK -> Input: 01110001 | Expected: 0 | Got: 0
OK -> Input: 01110010 | Expected: 0 | Got: 0
OK -> Input: 01110011 | Expected: 1 | Got: 1
OK -> Input: 01110100 | Expected: 0 | Got: 0
OK -> Input: 01110101 | Expected: 1 | Got: 1
OK -> Input: 01110110 | Expected: 1 | Got: 1
OK -> Input: 01110111 | Expected: 0 | Got: 0
OK -> Input: 01111000 | Expected: 0 | Got: 0
OK -> Input: 01111001 | Expected: 1 | Got: 1
OK -> Input: 01111010 | Expected: 1 | Got: 1
OK -> Input: 01111011 | Expected: 0 | Got: 0
OK -> Input: 01111100 | Expected: 1 | Got: 1
OK -> Input: 01111101 | Expected: 0 | Got: 0
OK -> Input: 01111110 | Expected: 0 | Got: 0
OK -> Input: 01111111 | Expected: 1 | Got: 1
OK -> Input: 10000000 | Expected: 1 | Got: 1
OK -> Input: 10000001 | Expected: 0 | Got: 0
OK -> Input: 10000010 | Expected: 0 | Got: 0
OK -> Input: 10000011 | Expected: 1 | Got: 1
OK -> Input: 10000100 | Expected: 0 | Got: 0
OK -> Input: 10000101 | Expected: 1 | Got: 1
OK -> Input: 10000110 | Expected: 1 | Got: 1
OK -> Input: 10000111 | Expected: 0 | Got: 0
OK -> Input: 10001000 | Expected: 0 | Got: 0
OK -> Input: 10001001 | Expected: 1 | Got: 1
OK -> Input: 10001010 | Expected: 1 | Got: 1
OK -> Input: 10001011 | Expected: 0 | Got: 0
OK -> Input: 10001100 | Expected: 1 | Got: 1
OK -> Input: 10001101 | Expected: 0 | Got: 0
OK -> Input: 10001110 | Expected: 0 | Got: 0
OK -> Input: 10001111 | Expected: 1 | Got: 1
OK -> Input: 10010000 | Expected: 0 | Got: 0
OK -> Input: 10010001 | Expected: 1 | Got: 1
OK -> Input: 10010010 | Expected: 1 | Got: 1
OK -> Input: 10010011 | Expected: 0 | Got: 0
OK -> Input: 10010100 | Expected: 1 | Got: 1
OK -> Input: 10010101 | Expected: 0 | Got: 0
OK -> Input: 10010110 | Expected: 0 | Got: 0
OK -> Input: 10010111 | Expected: 1 | Got: 1
OK -> Input: 10011000 | Expected: 1 | Got: 1
OK -> Input: 10011001 | Expected: 0 | Got: 0
OK -> Input: 10011010 | Expected: 0 | Got: 0
OK -> Input: 10011011 | Expected: 1 | Got: 1
OK -> Input: 10011100 | Expected: 0 | Got: 0
OK -> Input: 10011101 | Expected: 1 | Got: 1
OK -> Input: 10011110 | Expected: 1 | Got: 1
OK -> Input: 10011111 | Expected: 0 | Got: 0
OK -> Input: 10100000 | Expected: 0 | Got: 0
OK -> Input: 10100001 | Expected: 1 | Got: 1
OK -> Input: 10100010 | Expected: 1 | Got: 1
OK -> Input: 10100011 | Expected: 0 | Got: 0
OK -> Input: 10100100 | Expected: 1 | Got: 1
OK -> Input: 10100101 | Expected: 0 | Got: 0
OK -> Input: 10100110 | Expected: 0 | Got: 0
OK -> Input: 10100111 | Expected: 1 | Got: 1
OK -> Input: 10101000 | Expected: 1 | Got: 1
OK -> Input: 10101001 | Expected: 0 | Got: 0
OK -> Input: 10101010 | Expected: 0 | Got: 0
OK -> Input: 10101011 | Expected: 1 | Got: 1
OK -> Input: 10101100 | Expected: 0 | Got: 0
OK -> Input: 10101101 | Expected: 1 | Got: 1
OK -> Input: 10101110 | Expected: 1 | Got: 1
OK -> Input: 10101111 | Expected: 0 | Got: 0
OK -> Input: 10110000 | Expected: 1 | Got: 1
OK -> Input: 10110001 | Expected: 0 | Got: 0
OK -> Input: 10110010 | Expected: 0 | Got: 0
OK -> Input: 10110011 | Expected: 1 | Got: 1
OK -> Input: 10110100 | Expected: 0 | Got: 0
OK -> Input: 10110101 | Expected: 1 | Got: 1
OK -> Input: 10110110 | Expected: 1 | Got: 1
OK -> Input: 10110111 | Expected: 0 | Got: 0
OK -> Input: 10111000 | Expected: 0 | Got: 0
OK -> Input: 10111001 | Expected: 1 | Got: 1
OK -> Input: 10111010 | Expected: 1 | Got: 1
OK -> Input: 10111011 | Expected: 0 | Got: 0
OK -> Input: 10111100 | Expected: 1 | Got: 1
OK -> Input: 10111101 | Expected: 0 | Got: 0
OK -> Input: 10111110 | Expected: 0 | Got: 0
OK -> Input: 10111111 | Expected: 1 | Got: 1
OK -> Input: 11000000 | Expected: 0 | Got: 0
OK -> Input: 11000001 | Expected: 1 | Got: 1
OK -> Input: 11000010 | Expected: 1 | Got: 1
OK -> Input: 11000011 | Expected: 0 | Got: 0
OK -> Input: 11000100 | Expected: 1 | Got: 1
OK -> Input: 11000101 | Expected: 0 | Got: 0
OK -> Input: 11000110 | Expected: 0 | Got: 0
OK -> Input: 11000111 | Expected: 1 | Got: 1
OK -> Input: 11001000 | Expected: 1 | Got: 1
OK -> Input: 11001001 | Expected: 0 | Got: 0
OK -> Input: 11001010 | Expected: 0 | Got: 0
OK -> Input: 11001011 | Expected: 1 | Got: 1
OK -> Input: 11001100 | Expected: 0 | Got: 0
OK -> Input: 11001101 | Expected: 1 | Got: 1
OK -> Input: 11001110 | Expected: 1 | Got: 1
OK -> Input: 11001111 | Expected: 0 | Got: 0
OK -> Input: 11010000 | Expected: 1 | Got: 1
OK -> Input: 11010001 | Expected: 0 | Got: 0
OK -> Input: 11010010 | Expected: 0 | Got: 0
OK -> Input: 11010011 | Expected: 1 | Got: 1
OK -> Input: 11010100 | Expected: 0 | Got: 0
OK -> Input: 11010101 | Expected: 1 | Got: 1
OK -> Input: 11010110 | Expected: 1 | Got: 1
OK -> Input: 11010111 | Expected: 0 | Got: 0
OK -> Input: 11011000 | Expected: 0 | Got: 0
OK -> Input: 11011001 | Expected: 1 | Got: 1
OK -> Input: 11011010 | Expected: 1 | Got: 1
OK -> Input: 11011011 | Expected: 0 | Got: 0
OK -> Input: 11011100 | Expected: 1 | Got: 1
OK -> Input: 11011101 | Expected: 0 | Got: 0
OK -> Input: 11011110 | Expected: 0 | Got: 0
OK -> Input: 11011111 | Expected: 1 | Got: 1
OK -> Input: 11100000 | Expected: 1 | Got: 1
OK -> Input: 11100001 | Expected: 0 | Got: 0
OK -> Input: 11100010 | Expected: 0 | Got: 0
OK -> Input: 11100011 | Expected: 1 | Got: 1
OK -> Input: 11100100 | Expected: 0 | Got: 0
OK -> Input: 11100101 | Expected: 1 | Got: 1
OK -> Input: 11100110 | Expected: 1 | Got: 1
OK -> Input: 11100111 | Expected: 0 | Got: 0
OK -> Input: 11101000 | Expected: 0 | Got: 0
OK -> Input: 11101001 | Expected: 1 | Got: 1
OK -> Input: 11101010 | Expected: 1 | Got: 1
OK -> Input: 11101011 | Expected: 0 | Got: 0
OK -> Input: 11101100 | Expected: 1 | Got: 1
OK -> Input: 11101101 | Expected: 0 | Got: 0
OK -> Input: 11101110 | Expected: 0 | Got: 0
OK -> Input: 11101111 | Expected: 1 | Got: 1
OK -> Input: 11110000 | Expected: 0 | Got: 0
OK -> Input: 11110001 | Expected: 1 | Got: 1
OK -> Input: 11110010 | Expected: 1 | Got: 1
OK -> Input: 11110011 | Expected: 0 | Got: 0
OK -> Input: 11110100 | Expected: 1 | Got: 1
OK -> Input: 11110101 | Expected: 0 | Got: 0
OK -> Input: 11110110 | Expected: 0 | Got: 0
OK -> Input: 11110111 | Expected: 1 | Got: 1
OK -> Input: 11111000 | Expected: 1 | Got: 1
OK -> Input: 11111001 | Expected: 0 | Got: 0
OK -> Input: 11111010 | Expected: 0 | Got: 0
OK -> Input: 11111011 | Expected: 1 | Got: 1
OK -> Input: 11111100 | Expected: 0 | Got: 0
OK -> Input: 11111101 | Expected: 1 | Got: 1
OK -> Input: 11111110 | Expected: 1 | Got: 1
OK -> Input: 11111111 | Expected: 0 | Got: 0
SUCCESS: All 256 logic states passed!
========================================
tb_even_parity_gen.v:62: $finish called at 2560000 (1ps)
